,product,uf,volume,year_month,unit
325,GASOLINA C (m3),ACRE,118891.75,2012-01-01,m3
326,GASOLINA C (m3),AMAZONAS,49760.043999999994,2012-01-01,m3
327,GASOLINA C (m3),RORAIMA,8727.8,2012-01-01,m3
328,GASOLINA C (m3),PARÁ,87037.24,2012-01-01,m3
329,GASOLINA C (m3),AMAPÁ,11125.4,2012-01-01,m3
330,GASOLINA C (m3),TOCANTINS,26502.99,2012-01-01,m3
331,GASOLINA C (m3),MARANHÃO,63846.67,2012-01-01,m3
332,GASOLINA C (m3),PIAUÍ,36563.61,2012-01-01,m3
333,GASOLINA C (m3),CEARÁ,90826.0,2012-01-01,m3
334,GASOLINA C (m3),RIO GRANDE DO NORTE,43714.85,2012-01-01,m3
335,GASOLINA C (m3),PARAÍBA,47622.5,2012-01-01,m3
336,GASOLINA C (m3),PERNAMBUCO,97914.25,2012-01-01,m3
337,GASOLINA C (m3),ALAGOAS,28949.5,2012-01-01,m3
338,GASOLINA C (m3),SERGIPE,340092.125,2012-01-01,m3
339,GASOLINA C (m3),BAHIA,179521.841,2012-01-01,m3
340,GASOLINA C (m3),MINAS GERAIS,368777.22799999994,2012-01-01,m3
341,GASOLINA C (m3),ESPÍRITO SANTO,74777.07,2012-01-01,m3
342,GASOLINA C (m3),RIO DE JANEIRO,201702.534,2012-01-01,m3
343,GASOLINA C (m3),SÃO PAULO,889791.052,2012-01-01,m3
344,GASOLINA C (m3),PARANÁ,225337.944,2012-01-01,m3
345,GASOLINA C (m3),SANTA CATARINA,173625.232,2012-01-01,m3
346,GASOLINA C (m3),RIO GRANDE DO SUL,246716.157,2012-01-01,m3
347,GASOLINA C (m3),MATO GROSSO DO SUL,51409.6,2012-01-01,m3
348,GASOLINA C (m3),MATO GROSSO,52030.48,2012-01-01,m3
349,GASOLINA C (m3),GOIÁS,109882.652,2012-01-01,m3
350,GASOLINA C (m3),DISTRITO FEDERAL,75651.0,2012-01-01,m3
351,GASOLINA C (m3),RONDÔNIA,378462.95,2013-01-01,m3
352,GASOLINA C (m3),ACRE,11644.0,2013-01-01,m3
353,GASOLINA C (m3),AMAZONAS,49985.655,2013-01-01,m3
354,GASOLINA C (m3),RORAIMA,9763.6,2013-01-01,m3
355,GASOLINA C (m3),PARÁ,83493.68,2013-01-01,m3
356,GASOLINA C (m3),AMAPÁ,12507.1,2013-01-01,m3
357,GASOLINA C (m3),TOCANTINS,30221.35,2013-01-01,m3
358,GASOLINA C (m3),MARANHÃO,63573.5,2013-01-01,m3
359,GASOLINA C (m3),PIAUÍ,40892.52,2013-01-01,m3
360,GASOLINA C (m3),CEARÁ,98824.428,2013-01-01,m3
361,GASOLINA C (m3),RIO GRANDE DO NORTE,48367.012,2013-01-01,m3
362,GASOLINA C (m3),PARAÍBA,45380.35,2013-01-01,m3
363,GASOLINA C (m3),PERNAMBUCO,114548.002,2013-01-01,m3
364,GASOLINA C (m3),ALAGOAS,400517.967,2013-01-01,m3
365,GASOLINA C (m3),SERGIPE,35089.3,2013-01-01,m3
366,GASOLINA C (m3),BAHIA,169436.759,2013-01-01,m3
